DONOR_ID	SAMPLE_ID	SAMPLE_NUM	BATCH	GERMLINE_DNA_ID	MET_DNA_ID	MET_RNA_ID	MET_METH_ID
BM001	3778	1	1	BM001_wb_DNA	BM001_met_DNA	BM001_met_RNA	BM001_met_METH
BM002	3787_1	1	1	BM002_wb_DNA	BM002_met_1_DNA	BM002_met_1_RNA	BM002_met_1_METH
BM002	3787_2	2	1	BM002_wb_DNA	BM002_met_2_DNA	BM002_met_2_RNA	BM002_met_2_METH
BM003	3788	1	1	BM003_wb_DNA	BM003_met_DNA	BM003_met_RNA	BM003_met_METH
BM004	3800	1	1	BM004_wb_DNA	BM004_met_DNA	BM004_met_RNA	BM004_met_METH
BM005	3801	1	1	BM005_wb_DNA	BM005_met_DNA	BM005_met_RNA	BM005_met_METH
BM006	3802	1	1	BM006_wb_DNA	BM006_met_DNA	BM006_met_RNA	BM006_met_METH
BM007	3803	1	1	BM007_wb_DNA	BM007_met_DNA	BM007_met_RNA	BM007_met_METH
BM008	3804	1	1	BM008_wb_DNA	BM008_met_DNA	BM008_met_RNA	BM008_met_METH
BM009	3805	1	1	BM009_wb_DNA	BM009_met_DNA	BM009_met_RNA	BM009_met_METH
BM010	3837	1	1	BM010_wb_DNA	BM010_met_DNA	BM010_met_RNA	BM010_met_METH
BM011	3838	1	1	BM011_wb_DNA	BM011_met_DNA	BM011_met_RNA	BM011_met_METH
BM012	3839	1	1	BM012_wb_DNA	BM012_met_DNA	BM012_met_RNA	BM012_met_METH
BM013	3840	1	2	BM013_wb_DNA	BM013_met_DNA	BM013_met_RNA	BM013_met_METH
BM014	3841	1	2	BM014_wb_DNA	BM014_met_DNA	BM014_met_RNA	BM014_met_METH
BM015	3843_1	1	2	BM015_wb_DNA	BM015_met_1_DNA	BM015_met_1_RNA	BM015_met_1_METH
BM015	3843_2	2	2	BM015_wb_DNA	BM015_met_2_DNA	BM015_met_2_RNA	BM015_met_2_METH
BM016	3844	1	2	BM016_wb_DNA	BM016_met_DNA	BM016_met_RNA	BM016_met_METH
BM017	3871	1	2	BM017_wb_DNA	BM017_met_DNA	BM017_met_RNA	BM017_met_METH
BM018	3887_A	1	2	BM018_wb_DNA	BM018_met_1_DNA	BM018_met_1_RNA	BM018_met_1_METH
BM018	3887_B	2	2	BM018_wb_DNA	BM018_met_2_DNA	BM018_met_2_RNA	BM018_met_2_METH
BM019	3888	1	2	BM019_wb_DNA	BM019_met_DNA	BM019_met_RNA	BM019_met_METH
BM020	3889	1	2	BM020_wb_DNA	BM020_met_1_DNA	BM020_met_1_RNA	BM020_met_1_METH
BM020	3934	2	2	BM020_wb_DNA	BM020_met_2_DNA	BM020_met_2_RNA	BM020_met_2_METH
BM021	3929	1	2	BM021_wb_DNA	BM021_met_DNA	BM021_met_RNA	BM021_met_METH
BM022	3930	1	2	BM022_wb_DNA	BM022_met_DNA	BM022_met_RNA	BM022_met_METH
BM023	3959	1	2	BM023_wb_DNA	BM023_met_DNA	BM023_met_RNA	BM023_met_METH
BM024	3963	1	2	BM024_wb_DNA	BM024_met_1_DNA	BM024_met_1_RNA	BM024_met_1_METH
